    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_72,Site_72, Site_A, Site_H, Site_K, Site_R,Site_V
20150103,2:00,0.05,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,                    LST,0.01,                     ST,                     ST,0.03,                     BL
20150103,3:00,0.04,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,                    LST,0.02,                     BL,                     BL,0.02,0.05
20150103,4:00,0.04,0.16,0.02,0.07,0,0.02,                    LST,                    LST,0.01,0.04,0.14,0.02,0.22
20150103,5:00,0.04,0.03,0.02,0.28,0,0.02,                    LST,                    LST,0.01,0.3,0.06,0.26,0.14
20150103,6:00,0.12,0.06,0.02,0.25,0,0.02,                    LST,                    LST,0.15,0.3,0.3,0.04,0.09
20150103,7:00,0.15,0.04,0.02,0.51,0,0.02,                    LST,                    LST,0.16,0.28,0.07,0.03,0.1
20150103,8:00,0.31,0.06,0.04,0.42,0,0.02,                    LST,                    LST,0.11,0.24,0.1,0.13,0.14
20150103,9:00,0.34,0.33,0.04,0.29,0,0.02,                    LST,                    LST,0.05,0.21,0.08,0.37,0.16
20150103,10:00,0.15,0.26,0.08,0.17,0,0.01,                    LST,                    LST,0.04,0.12,0.06,0.07,0.11
20150103,11:00,0.09,0.08,0.05,0.14,0,0.01,                    LST,                    LST,0.04,0.11,0.04,0.04,0.1
20150103,12:00,0.13,0.05,0.03,0.05,0,0.01,                    LST,                    LST,0.03,0.06,0.06,0.03,0.1
20150103,13:00,0.1,0.06,0.04,0.06,0,0,                    LST,                    LST,0.03,0.04,0.05,0.04,0.09
20150103,14:00,0.09,0.07,0.04,0.06,0,0,                    LST,                    LST,0.03,0.05,0.04,0.03,0.1
20150103,15:00,0.07,0.04,0.03,0.06,0,0,                    LST,                    LST,0.02,0.04,0.03,0.03,0.06
20150103,16:00,0.08,0.04,0.03,0.06,0,0,                    LST,                    LST,0.02,0.04,0.04,0.03,0.08
20150103,17:00,0.07,0.06,0.02,0.06,0,0,                    LST,                    LST,0.03,0.04,0.04,0.03,0.13
20150103,18:00,0.1,0.07,0.06,0.1,0,0.02,                    LST,                    LST,0.14,0.13,0.08,0.14,0.25
20150103,19:00,0.36,0.1,0.04,0.11,0,0.01,                    LST,                    LST,0.2,0.17,0.16,0.08,0.64
20150103,20:00,0.54,0.11,0.12,0.16,0.02,0.02,                    LST,                    LST,0.3,0.21,0.28,0.08,1.01
20150103,21:00,                     CS,                     CS,                     CS,                     CS,                     CS,                     CS,                    LST,                    LST,                     CS,                     CS,                     CS,                     CS,                     CS
20150103,22:00,                     IQ,                     IQ,                     IQ,                     IQ,                     IQ,                     IQ,                    LST,                    LST,                     IQ,                     IQ,                     IQ,                     IQ,                     IQ
20150103,23:00,0.45,0.16,0.12,0.15,0.06,0.03,                    LST,                    LST,0.26,0.46,0.35,0.24,0.69
20150104,0:00,0.52,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,                    LST,0.26,                     ST,0.34,0.27,0.72
20150104,1:00,0.59,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,                    LST,0.27,                     ST,                     ST,0.29,0.83
20150104,2:00,                     ST,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,                    LST,                     ST,                     BL,                     ST,                     ST,0.83
20150104,3:00,                     ST,0.26,0.13,0.23,0,0.02,                    LST,                    LST,                     ST,0.43,                     BL,                     ST,0.86
20150104,4:00,                     BL,0.78,0.13,0.16,0,0.02,                    LST,                    LST,                     BL,0.41,0.37,                     BL,0.58
20150104,5:00,0.24,0.13,0.09,0.12,0,0,                    LST,                    LST,0.06,0.29,0.08,0.13,0.31
20150104,6:00,0.12,0.57,0.05,0.17,0,0,                    LST,                    LST,0.02,0.08,0.07,0.04,0.08
20150104,7:00,0,0.24,0.02,0.26,0,0,                    LST,                    LST,0.01,0.03,0.05,0.03,0.25
20150104,8:00,0,0.21,0.01,0.11,0,0,                    LST,                    LST,0.02,0.02,0.06,0.02,0.25
20150104,9:00,0,0.02,0.01,0.03,0,0,                    LST,                    LST,0.01,0.01,0.03,0.02,0.33
20150104,10:00,0.03,0.04,0.02,0.02,0,0,                    LST,                    LST,0.01,0.02,0.02,0.02,0.46
20150104,11:00,0,0.08,0.01,0.02,0,0,                    LST,                    LST,0.01,0.05,0.02,0,0.16
20150104,12:00,0.03,0.13,0,0.02,0,0,                    LST,                    LST,0.01,0.03,0.03,0,0.14
20150104,13:00,0,0.07,0,0.03,0,0,                    LST,                    LST,0.01,0.02,0.02,0,0.24
20150104,14:00,0,0,0.01,0.01,0,0,                    LST,                    LST,0.01,0.04,0,0.02,0.34
20150104,15:00,0.03,0,0.01,0.02,0,0,                    LST,                    LST,0,0.05,0.02,0.02,0.11
20150104,16:00,0.04,0.09,0.01,0.02,0,0,                    LST,                    LST,0.01,0.04,0.03,0.01,1.03
20150104,17:00,0.05,0.13,0.01,0.02,0,0,                    LST,                    LST,0,0.03,0.04,0.01,0.51
20150104,18:00,0.05,0.11,0.01,0.02,0,0,                    LST,                    LST,0.02,0.03,0.04,0.02,0.27
20150104,19:00,0.06,0.14,0.02,0.02,0,0,                    LST,                    LST,0.02,0.03,0.04,0.02,0.23
20150104,20:00,0.05,0.4,0.02,0.02,0,0,                    LST,                    LST,0.02,0.03,0.04,0.02,                     ST
20150104,21:00,0.04,0.03,0.02,0.02,0,0,                    LST,                    LST,0.01,0.03,0.03,0.02,                     ST
20150104,22:00,0.04,0,0.01,0.03,0,0,                    LST,                    LST,0.01,0.14,0.02,0.03,                     BL
20150104,23:00,0,0,0,0.02,0,0,                    LST,                    LST,0,0.2,0.02,1.74,0.41
20150105,0:00,                     ST,0,0,0,                     ST,0,                    LST,                    LST,                     ST,0.05,0.02,                     ST,0.18
20150105,1:00,                     BL,0,0,0,                     BL,0,                    LST,                    LST,                     BL,0.02,                     ST,                     BL,0.04
20150105,2:00,0,                     ST,                     ST,                     ST,0,                     ST,                    LST,                    LST,0,                     ST,                     BL,0.92,0.02
20150105,3:00,0,                     BL,                     BL,                     BL,0,                     BL,                    LST,                    LST,0,                     BL,0.02,0.87,0.1
20150105,4:00,0,0.02,0.01,0,0,0,                    LST,                    LST,0,0.03,0,0.24,0.04
20150105,5:00,0,0,0,0,0,0,                    LST,                    LST,0,0.02,0.02,0.15,0.04
