    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28, Site_A, Site_H, Site_K, Site_R, Site_V
20130101,0:00,0.15,               ST,0.46,               ST,0.05,,               ST,              LST,               ST,0.14,              AQI,0.15
20130101,1:00,0.24,               BL,0.31,               BL,0.05,,               BL,              LST,               BL,               ST,              AQI,               ST
20130101,2:00,               ST,1.79,               ST,0.06,               ST,,0.13,              LST,0.15,               BL,               ST,               BL
20130101,3:00,               BL,0.94,               BL,0.05,               BL,,0.15,              LST,0.41,0.3,               BL,0.21
20130101,4:00,0.31,0.65,0.25,0.1,0.12,,0.11,              LST,0.56,0.38,              AQI,0.38
20130101,5:00,0.2,0.55,0.26,0.24,0.08,,0.17,              LST,0.97,0.26,              AQI,0.27
20130101,6:00,0.26,0.39,0.32,0.27,0.09,,0.34,              LST,0.28,0.26,              AQI,0.29
20130101,7:00,0.3,0.36,0.36,0.28,0.28,,0.25,              LST,0.46,0.29,              AQI,0.31
20130101,8:00,0.32,0.39,0.36,0.27,0.2,,0.17,              LST,0.7,0.29,              AQI,0.29
20130101,9:00,0.28,0.52,0.34,0.32,0.19,,0.15,              LST,0.44,0.24,              AQI,0.26
20130101,10:00,0.24,0.33,0.25,0.27,0.17,,0.17,              LST,0.42,0.25,              AQI,0.24
20130101,11:00,0.26,0.29,0.25,0.2,0.15,,0.15,              LST,0.42,0.28,              AQI,0.25
20130101,12:00,0.26,0.32,0.27,0.18,0.17,,0.19,              LST,0.39,0.29,              AQI,0.27
20130101,13:00,0.29,0.35,0.27,0.22,0.19,,0.2,              LST,0.34,0.28,              AQI,0.28
20130101,14:00,0.24,0.38,0.24,0.2,0.16,,0.21,              LST,0.48,0.27,              AQI,0.25
20130101,15:00,0.26,0.36,0.23,0.24,0.18,,0.2,              LST,0.28,0.27,              AQI,0.26
20130101,16:00,0.26,0.39,0.22,0.25,0.19,,0.21,              LST,0.28,0.3,              AQI,0.25
20130101,17:00,0.27,0.4,0.22,0.24,0.2,,0.22,              LST,0.32,0.28,              AQI,0.25
20130101,18:00,0.25,0.31,0.22,0.2,0.17,,0.23,              LST,0.26,0.27,              AQI,0.26
20130101,19:00,0.24,0.26,0.24,0.2,0.19,,0.21,              LST,0.27,0.31,              AQI,0.29
20130101,20:00,0.25,0.24,0.22,0.2,0.24,,0.24,              LST,0.24,0.27,              AQI,0.29
20130101,21:00,0.24,0.24,0.26,0.2,0.24,,0.22,              LST,0.34,0.23,              AQI,0.25
