    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28, Site_A, Site_H, Site_K, Site_R, Site_V
20120101,0:00,              LST,              LST,              LST,              LST,              LST,,              LST,              LST,              LST,              LST,              LST,              LST
20120101,1:00,               ST,0.3,               ST,               ST,               ST,,               ST,0.12,               ST,               ST,               ST,               ST
20120101,2:00,               BL,               ST,               BL,               BL,               BL,,               BL,               ST,               BL,               ST,               BL,               ST
20120101,3:00,0.07,               ST,0.19,0.27,0.12,,0.09,               ST,0.13,               BL,0.1,               BL
20120101,4:00,0.08,               BL,0.06,0.17,0.09,,0.06,               BL,0.08,0.09,0.08,0.16
20120101,5:00,0.18,0.26,0.13,0.06,0.08,,0.16,0.16,0.18,0.19,0.18,0.2
20120101,6:00,0.11,0.22,0.14,0.19,0.25,,0.14,0.15,0.28,0.14,0.17,0.18
20120101,7:00,0.11,0.15,0.12,0.04,0.12,,              AQI,0.12,0.21,0.16,0.14,0.18
20120101,8:00,0.07,0.13,0.08,0.02,0.13,,              AQI,0.11,0.26,0.11,0.14,0.15
20120101,9:00,0.08,0.11,0.08,0.1,0.11,,0.07,0.08,0.54,0.1,0.21,0.15
20120101,10:00,0.08,0.16,0.07,0,0.08,,0.06,0.08,0.35,0.09,0.17,0.14
20120101,11:00,0.09,0.17,0.08,0.1,0.09,,0.07,0.07,0.21,0.1,0.29,0.13
20120101,12:00,0.07,0.12,0.08,0.07,0.07,,0.05,0.09,0.23,0.1,0.16,0.12
20120101,13:00,0.05,0.28,0.05,0.05,0.06,,0.07,0.09,0.18,0.08,0.09,0.16
20120101,14:00,0.09,0.13,0.08,0.04,0.07,,0.07,0.08,0.17,0.08,0.11,0.13
20120101,15:00,0.09,0.11,0.06,0.07,0.06,,0.07,0.08,0.23,0.1,0.11,0.16
20120101,16:00,0.08,0.13,0.08,0.15,0.08,,0.07,0.09,0.38,0.12,0.16,0.15
20120101,17:00,0.18,0.13,0.09,0.16,0.1,,0.08,0.11,0.45,0.14,0.16,0.17
20120101,18:00,0.22,0.14,0.11,0.14,0.08,,0.06,0.13,0.6,0.14,0.21,0.18
20120101,19:00,0.18,0.14,0.16,0.09,0.13,,0.11,0.14,0.23,0.18,0.15,0.18
20120101,20:00,0.19,0.14,0.15,0.03,0.14,,0.13,0.16,0.3,0.19,0.13,0.21
20120101,21:00,0.19,0.31,0.17,0.14,0.13,,0.11,0.15,0.25,0.19,0.18,0.19
20120101,22:00,0.2,0.38,0.19,0.12,0.15,,0.1,0.17,0.27,0.16,0.21,0.2
20120101,23:00,0.18,0.14,0.13,0.13,0.1,,0.07,0.14,0.36,0.15,0.15,0.2
20120102,0:00,0.12,               ST,0.14,0.14,0.13,,0.09,              LST,0.78,0.15,              LST,0.24
20120102,1:00,0.09,               BL,0.12,0.14,0.12,,0.08,              LST,0.57,0.13,              LST,0.23
20120102,2:00,               ST,0.14,               ST,               ST,               ST,,               XX,              LST,               ST,0.14,              LST,               ST
20120102,3:00,               BL,0.15,               BL,               BL,               BL,,               BL,              LST,               BL,0.11,              LST,               BL
20120102,4:00,0.11,0.12,0.11,0.02,0.11,,0.1,              LST,0.47,0.12,              LST,0.19
20120102,5:00,0.12,0.14,0.13,0.12,0.11,,0.11,              LST,0.56,0.14,              LST,0.2
20120102,6:00,0.12,0.15,0.18,0.02,0.14,,0.11,              LST,0.26,0.14,              LST,0.21
20120102,7:00,0.1,0.14,0.14,0.13,0.14,,0.11,              LST,0.29,0.14,              LST,0.21
20120102,8:00,0.13,0.14,0.11,0.11,0.16,,0.12,              LST,0.34,0.13,              LST,0.23
20120102,9:00,0.09,0.2,0.09,0.06,0.12,,0.1,              LST,0.34,0.11,              LST,0.18
20120102,10:00,0.1,0.45,0.1,0.09,0.13,,0.08,              LST,0.31,0.14,              LST,0.23
20120102,11:00,0.09,0.45,0.07,0.09,0.1,,0.07,              LST,0.23,0.09,              LST,0.2
20120102,12:00,0.08,0.13,0.06,0.03,0.08,,0.08,              LST,0.15,0.1,              LST,0.15
20120102,13:00,0.07,0.1,0.06,0.1,0.07,,0.07,              LST,0.16,0.1,              LST,0.15
20120102,14:00,0.08,0.13,0.07,0.03,0.09,,0.07,              LST,0.15,0.12,              LST,0.15
20120102,15:00,0.09,0.13,0.07,0.23,0.09,,0.07,              LST,0.14,0.12,              LST,0.18
20120102,16:00,0.1,0.12,0.07,0.13,0.06,,0.06,              LST,0.12,0.14,              LST,0.19
20120102,17:00,0.16,0.21,0.13,0.03,0.1,,0.08,              LST,0.17,0.19,              LST,0.25
20120102,18:00,0.23,0.31,0.15,0.2,0.16,,0.1,              LST,0.26,0.22,              LST,0.29
20120102,19:00,0.29,0.27,0.19,0.29,0.16,,0.19,              LST,0.4,0.48,              LST,0.55
20120102,20:00,0.31,0.12,0.24,0.29,0.19,,0.11,              LST,0.86,0.43,              LST,0.52
20120102,21:00,0.35,0.11,0.19,0.32,0.21,,0.1,              LST,0.33,               ST,              LST,0.35
20120102,22:00,0.42,0.13,0.15,0.35,0.16,,0.1,              LST,0.16,               BL,              LST,0.26
20120102,23:00,0.35,0.15,0.15,0.03,0.15,,0.11,              LST,0.69,0.27,              LST,0.25
20120103,0:00,               ST,0.56,               XX,               ST,               ST,,               XX,              LST,               ST,0.27,              LST,0.27
20120103,1:00,               BL,0.21,               BL,               BL,               BL,,               BL,              LST,               BL,0.26,              LST,0.27
20120103,2:00,0.18,               ST,0.17,0.54,0.21,,0.14,              LST,1.66,               ST,              LST,0.25
20120103,3:00,0.2,               BL,0.21,0.53,0.24,,0.13,              LST,0.41,               BL,              LST,0.3
20120103,4:00,0.27,0.17,0.24,0.18,0.17,,0.13,              LST,0.45,0.29,              LST,0.35
20120103,5:00,0.31,0.3,0.2,0.08,0.17,,0.14,              LST,3.36,0.47,              LST,0.43
